Designator,Package,Quantity,Designation,Supplier and ref
BR2,Diode_Bridge_Round_D9.8mm,1,~,
"R13,R14,R15,R16",R_Axial_Power_L38.0mm_W6.4mm_P45.72mm,4,150R 7W,139-3461
BR1,Diode_Bridge_Vishay_KBU,1,~,634-9294
BR3,Diode_Bridge_Vishay_GBU,1,~,751-4442
"C1,C2",CP_Radial_D35.0mm_P10.00mm_SnapIn,2,470u 350v,706-3354
C3,CP_Radial_D17.0mm_P7.50mm,1,4700u 16v,703-7510
C4,CP_Radial_D10.0mm_P7.50mm,1,100u,711-1602
"C5,C6",CP_Radial_D25.0mm_P10.00mm_SnapIn,2,100u 450v,711-2166
"C7,C8,C15,C16",C_Rect_L26.5mm_W11.5mm_P22.50mm_MKS4,4,0.47u 630V,622-4971
"C9,C10,C11,C12",CP_Radial_D8.0mm_P3.80mm,4,220u 25v,711-1264
"C13,C14",C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3,2,0.47u 250v,896-1243
"C17,C18",CP_Radial_D17.0mm_P7.50mm,2,4700u 10v,703-7510
"C19,C20",C_Axial_L12.0mm_D6.5mm_P20.00mm_Horizontal,2,3.9n 160v,882-9269
R1,R_Axial_Power_L20.0mm_W6.4mm_P30.48mm,1,5.6K 6W,485-3088
R3,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,13K,
R4,R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,1,8.2K 3W,
R5,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,36K 1W,
"R6,R12,R32,R33",R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,4,100R 1W,
"R8,R10,R27,R31",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,4,1K,
"R9,R11,R26,R30",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,4,330K,
"R17,R18",R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,2,39K 3W,
"R21,R22",R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,2,15K 3W,
"R23,R25,R28,R29",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,4,1M,
"R34,R35",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,2,6.8K,
"R36,R37,R38,R39",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,4,330R,
"R40,R41",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,2,6.8R,
"R70,R200",R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,2,75K,
"R71,R201",R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,2,68K,
"R190,R240",R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,2,100K,
"R191,R241",R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,2,91K,
"RS1,RS2",R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,2,220K 2W,
